Samples,Malodour,Cluster_3,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_28,Cluster_30,Cluster_31,Cluster_33,Cluster_34,Cluster_40,Cluster_54,Cluster_55,Cluster_59,Cluster_67,Cluster_81,Cluster_85,Cluster_87,Cluster_88,Cluster_91,Cluster_99,Cluster_116,Cluster_134,Cluster_168,Cluster_175,Cluster_211,Cluster_225,Cluster_265,Cluster_271,Cluster_281,Cluster_337,Cluster_497,Cluster_558,Cluster_644,Cluster_2338,Cluster_2466,Cluster_2471,Cluster_2474,Cluster_2475,Cluster_2478,Cluster_2483,Cluster_2484,Cluster_2487,Cluster_2488,Cluster_2490,Cluster_2496,Cluster_2499,Cluster_2505,Cluster_2507,Cluster_2529,Cluster_2599,Cluster_2820,Cluster_2862,Cluster_2863,Cluster_2907,Cluster_3096,Cluster_3115,Cluster_3116,Cluster_3118,Cluster_3122,Cluster_3128,Cluster_3142,Cluster_3144,Cluster_3156,Cluster_3276,Cluster_3304,Cluster_3380,Cluster_3392,Cluster_3396,Cluster_3408,Cluster_3413,Cluster_3414,Cluster_3427,Cluster_3430,Cluster_3452,Cluster_3453,Cluster_3480,Cluster_3484,Cluster_3489,Cluster_3510,Cluster_3527,Cluster_3557,Cluster_3574,Cluster_3585,Cluster_3592,Cluster_3601,Cluster_3702,Cluster_3703,Cluster_3704,Cluster_3709,Cluster_3715,Cluster_3726,Cluster_3731,Cluster_3732,Cluster_3746,Cluster_3751,Cluster_3769,Cluster_3792,Cluster_3818,Cluster_3838
Ig9430,P,5,57,48,28,6,50,297,320,172,83,50,1,21,18,11,5,2,2,0,7,29,0,0,0,9,0,11,5,0,2,0,1,18,1,0,0,309,1,0,5,0,0,8,14,125,5,310,1,8,0,0,1,0,0,10,3,0,26,0,35,9,1,1,6,13,111,4,13,2,6,15,21,26,8,105,2,4,1,4,0,6,1,2,6,1,3,3,0,4,4,0,0,4,13,3,27,7,11,8,1,1,1,54,10,1,15,0,0
Ig9431,P,31,76,111,63,13,30,428,257,74,72,368,3,5,0,107,1,0,0,0,1,28,0,0,0,0,0,1,0,0,0,5,0,0,2,0,1,0,2,2,0,2,0,2,0,79,3,307,4,58,2,11,1,0,20,0,0,0,29,0,61,13,27,2,7,0,263,7,5,3,0,4,29,5,0,94,20,1,0,2,1,3,7,0,3,0,0,4,3,0,0,0,1,0,1,0,37,0,24,1,0,0,1,66,7,4,0,0,0
Ig9432,P,60,59,123,22,0,147,446,337,101,109,89,0,22,5,0,1,0,1,0,1,14,0,0,2,9,0,1,1,0,0,0,1,0,0,0,0,0,0,5,4,0,0,0,0,109,33,348,3,23,11,1,2,0,2,9,1,0,144,0,61,12,7,1,1,0,22,34,15,0,2,4,98,28,0,71,1,4,7,1,0,1,0,0,17,0,0,5,2,0,0,0,3,0,1,0,39,1,10,7,2,2,8,90,61,10,0,0,3
Ig9433,P,7,143,226,39,5,134,517,146,50,228,108,0,16,6,0,34,2,10,0,10,12,1,0,0,3,0,0,0,1,1,9,2,5,1,0,0,0,2,7,0,0,4,3,5,54,30,286,5,2,16,2,1,2,8,24,30,48,80,0,20,23,11,0,17,13,189,11,20,2,0,38,16,5,0,14,3,0,0,9,4,3,3,0,8,0,1,2,3,0,0,1,16,0,2,0,23,5,0,6,0,0,2,73,1,1,1,0,0
Ig9434,P,78,73,89,45,56,45,384,266,44,119,47,0,10,16,84,13,2,5,0,0,34,0,0,0,1,3,4,9,1,1,5,0,0,3,2,2,0,2,5,0,0,1,3,0,59,55,360,7,4,12,2,10,0,21,35,22,1,96,2,45,12,5,0,3,31,190,13,11,3,0,14,59,14,1,62,8,2,2,2,0,5,2,1,17,22,5,5,3,3,1,0,0,5,2,0,9,0,5,2,0,0,7,92,19,6,0,0,0
Ig9435,P,57,86,120,122,1,3,546,253,118,411,4,5,4,2,15,3,3,0,1,12,20,1,0,4,5,1,0,1,2,0,0,14,0,2,0,0,0,4,0,0,1,0,8,5,9,4,6,11,1,3,1,0,1,0,0,0,0,144,1,76,48,18,0,4,0,127,21,14,2,2,12,134,21,61,33,3,1,1,2,0,4,3,0,34,5,2,5,0,0,0,5,0,6,1,0,17,11,8,4,1,1,2,80,41,1,1,0,0
Ig9436,P,78,137,108,115,7,120,303,493,125,416,19,0,0,2,0,12,7,1,2,6,28,3,0,1,2,0,3,0,6,0,0,1,0,0,0,0,0,2,1,0,0,0,3,0,57,9,33,5,3,7,1,0,0,0,2,0,0,63,0,75,107,10,7,1,0,247,11,4,1,0,18,28,7,0,105,1,0,0,3,0,2,0,0,6,0,1,3,0,0,1,0,0,0,0,3,39,0,7,3,0,0,5,31,5,0,0,0,0
Ig9437,P,39,20,35,76,4,7,195,428,49,53,237,3,56,6,1,0,0,0,0,1,96,0,0,1,5,255,1,38,3,0,3,0,1,1,32,8,0,1,1,0,0,0,4,0,385,44,11,3,18,9,2,21,8,16,83,0,0,23,0,54,16,1,0,0,98,108,11,2,0,0,6,22,5,2,88,16,6,0,0,1,6,6,0,8,0,1,0,2,0,0,0,0,0,1,6,4,0,9,8,0,0,7,57,11,2,0,0,5
Ig9438,P,117,83,29,48,0,0,261,533,132,267,153,1,56,0,115,0,3,0,0,9,85,2,0,0,0,0,9,22,4,3,0,2,0,0,0,0,0,0,3,1,0,0,1,1,69,32,0,14,1,15,0,0,0,2,0,1,0,12,0,37,25,16,1,5,0,366,17,9,3,0,28,148,39,0,6,10,2,0,0,0,0,1,0,2,12,2,0,0,0,0,2,0,1,0,1,8,0,15,10,0,1,17,6,10,0,0,0,0
Ig9439,P,19,85,155,84,14,6,409,312,109,103,163,0,3,18,39,17,2,3,0,25,60,2,0,0,19,0,3,11,0,2,0,1,15,1,7,0,19,1,0,0,1,1,1,0,45,2,343,0,11,0,0,5,0,1,10,0,0,36,2,44,7,7,0,3,18,219,23,35,1,1,18,31,4,3,22,2,3,0,1,0,7,3,2,6,8,0,1,2,0,5,0,0,0,0,6,56,0,7,6,0,0,2,98,22,9,0,0,0
Ig9440,P,62,159,198,3,4,3,398,301,108,276,11,1,29,19,7,13,1,3,52,11,0,1,0,0,0,0,0,2,1,4,0,1,0,0,0,0,0,0,5,1,0,0,0,8,6,1,304,14,10,0,6,1,0,0,1,9,0,64,0,55,66,11,0,25,42,76,20,45,1,0,70,50,8,0,63,0,0,0,1,0,22,0,0,17,5,0,7,15,1,3,0,0,15,2,0,35,3,1,3,0,0,4,39,11,4,0,0,4
Ig9441,P,84,177,234,7,9,0,655,142,35,355,38,0,5,9,0,6,0,1,0,10,3,3,0,1,1,2,1,6,1,0,0,1,1,0,0,0,0,0,5,1,0,0,6,23,85,5,184,5,1,2,0,1,0,11,3,3,0,59,0,58,43,11,0,16,0,238,1,34,0,2,36,34,8,0,47,0,2,0,0,0,0,0,0,1,2,3,6,15,0,1,0,0,1,1,2,20,9,6,2,1,0,10,43,6,1,0,0,2
Ig9442,P,5,69,39,179,51,116,338,178,126,124,68,4,40,7,0,1,0,1,0,1,15,3,0,2,4,93,3,23,2,2,2,4,18,3,0,0,2,2,6,1,0,0,8,1,124,43,192,11,21,12,13,7,2,32,14,2,58,57,0,69,23,13,1,4,0,193,18,12,1,1,3,80,18,0,62,7,6,0,13,11,3,7,0,10,4,3,0,2,2,0,0,0,4,1,3,31,3,14,1,0,0,1,82,1,0,5,10,1
Ig9459,N,29,169,41,53,2,20,420,72,13,747,3,3,0,1,0,0,0,0,4,21,0,2,0,61,0,0,3,0,0,1,0,0,1,1,0,0,0,1,5,2,1,0,73,12,10,1,12,3,1,0,0,0,0,0,2,2,0,9,6,86,17,17,0,19,0,306,3,100,4,4,337,46,10,0,19,2,4,0,6,0,6,1,0,3,13,2,1,6,0,1,0,0,0,0,0,11,8,0,0,1,1,1,9,2,0,0,0,0
Ig9460,N,19,127,90,46,23,195,438,232,87,236,59,8,0,69,43,6,1,2,0,48,3,0,0,6,1,0,1,11,1,8,13,9,16,2,38,0,0,0,3,0,0,0,5,0,4,0,326,0,4,1,0,6,0,3,0,1,0,14,0,10,6,3,1,7,0,264,0,29,1,3,25,10,6,0,12,6,20,0,0,0,0,8,11,0,24,18,0,18,0,4,0,0,11,0,0,12,2,8,0,0,1,6,7,3,0,0,0,3
Ig9461,N,20,301,47,90,21,51,543,216,25,321,27,4,1,20,160,35,5,17,9,12,14,4,0,3,5,1,0,0,1,0,0,0,3,6,1,0,0,0,0,0,2,1,7,0,18,0,80,2,8,0,1,11,0,4,0,1,0,40,0,24,33,7,1,33,0,276,7,48,0,0,90,14,10,0,12,4,0,0,1,28,1,1,0,6,0,0,11,5,2,0,2,0,0,0,1,49,1,12,9,4,1,2,44,2,0,1,3,0
