,Ig9373,Ig9374,Ig9375,Ig9376,Ig9377,Ig9378,Ig9379,Ig9380,Ig9381,Ig9382,Ig9383,Ig9384,Ig9385,Ig9386,Ig9387,Ig9388,Ig9389,Ig9390,Ig9391,Ig9392,Ig9393,Ig9394,Ig9395,Ig9396,Ig9397,Ig9398,Ig9399,Ig9400,Ig9401,Ig9402,Ig9403,Ig9404,Ig9405,Ig9406,Ig9407,Ig9408,Ig9409,Ig9410,Ig9411,Ig9412,Ig9413,Ig9414,Ig9415,Ig9416,Ig9417,Ig9418,Ig9419,Ig9420,Ig9421,Ig9422,Ig9423,Ig9424,Ig9425,Ig9426,Ig9427,Ig9428,Ig9429,Ig9430,Ig9431,Ig9432,Ig9433,Ig9434,Ig9435,Ig9436,Ig9437,Ig9438,Ig9439,Ig9440,Ig9441,Ig9442,Ig9459,Ig9460,Ig9461,Ig9462,Ig9463,Ig9464,Ig9465,Ig9466,Ig9467,Ig9468,Ig9469,Ig9470,Ig9471,Ig9472,Ig9473,Ig9474,Ig9475,Ig9476,Ig9477,Ig9478
Cluster_497,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,3,0,2,0,0,2,0,0,0,0,3,0,0,5,0,0,0,1,3,0,0,0,0,2,1,0,0,0,0,0,6,5,5,0,4,0,0,0,0,0,1,0,1,1,1,2,0,0,1,0,1,0,0,0,0,0,2,4,0,0,0,0,4,1,6
Cluster_558,0,0,0,0,0,0,0,0,0,0,1,0,7,1,2,1,2,3,3,0,2,3,0,1,1,0,7,1,4,1,0,0,0,0,1,0,3,1,1,0,0,4,4,4,0,0,1,2,1,1,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,2,1,0,3,1,1,1,0,1,0,0,1,3,0,1,0,2,1
Cluster_644,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,4,5,1,2,11,0,0,0,1,4,1,1,0,0,1,0,0,6,14,1,0,1,3,0,6,0,0,0,0,0,8,5,0,0,0,6,4,3,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,1,4,0,0,2,0,0,5,19,0,0,4,0,0,5,0,0,1
Cluster_2338,17,14,19,17,5,13,7,17,6,21,16,3,5,9,20,12,9,11,31,9,7,1,8,0,3,4,1,5,4,12,2,0,8,4,4,9,6,7,8,5,2,10,4,2,2,8,3,12,2,7,2,2,1,3,23,6,0,8,2,0,3,3,8,3,4,1,1,0,6,8,73,5,7,2,7,6,3,3,2,22,14,7,6,1,7,9,8,1,6,1
Cluster_2466,0,0,0,1,14,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,2,0,9,0,0,0,0,0,0,0,0,58,0,18,0,0,5,25,3,1,0,0,0,4,5,1,0,0,2,10,0,3,14,0,0,5,0,5,0,0,1,0,8,23,1,12,0,0,0,1,0,3,0,0,2,1,3,6,2,0,0,0,0,0,1
Cluster_2471,0,1,4,7,11,3,19,1,26,6,27,25,6,4,1,5,0,1,4,1,41,5,1,40,126,19,10,10,29,24,0,1,0,50,2,32,2,3,19,4,33,61,56,25,136,11,82,1,65,202,6,71,47,28,68,106,45,125,79,109,54,59,9,57,385,69,45,6,85,124,10,4,18,1,1,1,18,10,13,1,9,92,7,16,7,7,157,40,15,32
Cluster_2474,0,0,5,0,6,1,39,0,18,2,0,4,7,6,1,6,0,0,0,0,9,7,1,46,41,0,3,2,0,81,0,0,42,23,0,30,0,5,7,2,2,16,0,16,9,0,57,12,167,70,6,120,60,49,52,10,2,5,3,33,30,55,4,9,44,32,2,1,5,43,1,0,0,0,0,0,6,4,16,0,0,3,12,138,0,0,6,8,4,20
Cluster_2475,12,241,18,78,324,101,147,0,142,23,1,205,0,61,0,24,74,8,244,362,52,9,31,228,0,285,14,285,80,125,296,8,89,7,190,75,0,112,213,32,76,30,64,235,350,320,0,68,109,45,309,276,35,0,37,298,194,310,307,348,286,360,6,33,11,0,343,304,184,192,12,326,80,6,213,81,58,297,66,0,0,175,318,47,208,139,34,312,304,141
Cluster_2478,0,1,5,3,0,0,1,9,1,3,6,3,18,1,1,12,1,0,2,0,4,2,1,2,5,1,8,1,6,13,0,21,9,57,0,7,6,0,0,1,3,3,0,5,5,1,59,4,32,11,1,2,7,30,10,12,2,1,4,3,5,7,11,5,3,14,0,14,5,11,3,0,2,15,0,0,10,11,6,7,5,4,10,1,5,6,16,9,4,3
Cluster_2483,11,4,5,1,3,19,6,2,5,0,2,8,0,3,1,6,3,9,6,3,4,0,6,3,0,24,2,9,2,16,7,2,4,1,1,12,0,25,6,17,19,0,12,8,1,16,2,0,2,1,13,3,3,4,2,6,7,8,58,23,2,4,1,3,18,1,11,10,1,21,1,4,8,7,2,0,4,8,5,0,0,3,14,0,2,0,2,22,11,15
Cluster_2484,0,0,0,0,1,0,10,0,7,1,0,1,1,3,0,0,0,0,0,0,14,5,0,20,4,0,2,0,0,11,0,0,20,6,0,11,1,0,0,0,1,4,0,44,1,0,16,3,23,6,0,0,4,10,26,6,0,0,2,11,16,12,3,7,9,15,0,0,2,12,0,1,0,0,0,0,1,1,4,0,0,3,0,18,0,0,4,1,0,6
Cluster_2487,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,10,0,0,5,0,4,0,2,7,0,6,0,1,1,0,1,4,2,0,1,0,3,0,11,1,2,2,1,1,2,0,0,6,0,13,0,0,1,3,9,0,0,0,0,0,2,0,2,0,0,0,2,15,5,0
Cluster_2488,3,1,0,3,0,3,2,0,2,0,0,0,0,2,0,0,4,1,3,0,0,0,3,0,0,1,0,1,0,1,0,0,0,0,2,0,0,3,8,0,0,0,3,2,5,15,2,1,1,0,1,0,0,1,2,0,1,1,1,2,1,10,0,0,21,0,5,1,1,7,0,6,11,0,0,1,1,0,0,0,0,0,8,0,5,19,0,21,3,3
Cluster_2490,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0,0,0,1,5,0,2,0,0,0,0,2,0,0,4,0,0,4,1,9,1,0,1,1,1,8,0,2,0,0,0,2,0,1,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,20,0,0,1,0,0,0
Cluster_2496,0,1,1,0,0,0,0,0,1,0,2,1,0,2,0,2,3,0,0,0,2,0,0,0,2,10,3,1,0,21,2,0,12,2,0,3,0,4,2,3,12,1,2,1,5,5,2,2,4,1,3,8,0,0,0,6,3,0,20,2,8,21,0,0,16,2,1,0,11,32,0,3,4,0,1,0,0,2,2,0,4,0,0,0,1,0,3,6,4,2
Cluster_2499,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,1,0,0,2,0,1,0,0,4,0,2,0,0,1,0,0,0,4,0,3,0,0,1,1,7,0,0,0,0,5,20,0,12,15,0,9,2,5,3,12,1,10,0,9,24,35,0,2,83,0,10,1,3,14,2,0,0,0,0,0,1,4,1,0,0,1,2,29,2,0,0,3,1,1
