,Ig9373,Ig9374,Ig9375,Ig9376,Ig9377,Ig9378,Ig9379,Ig9380,Ig9381,Ig9382,Ig9383,Ig9384,Ig9385,Ig9386,Ig9387,Ig9388,Ig9389,Ig9390,Ig9391,Ig9392,Ig9393,Ig9394,Ig9395,Ig9396,Ig9397,Ig9398,Ig9399,Ig9400,Ig9401,Ig9402,Ig9403,Ig9404,Ig9405,Ig9406,Ig9407,Ig9408,Ig9409,Ig9410,Ig9411,Ig9412,Ig9413,Ig9414,Ig9415,Ig9416,Ig9417,Ig9418,Ig9419,Ig9420,Ig9421,Ig9422,Ig9423,Ig9424,Ig9425,Ig9426,Ig9427,Ig9428,Ig9429,Ig9430,Ig9431,Ig9432,Ig9433,Ig9434,Ig9435,Ig9436,Ig9437,Ig9438,Ig9439,Ig9440,Ig9441,Ig9442,Ig9459,Ig9460,Ig9461,Ig9462,Ig9463,Ig9464,Ig9465,Ig9466,Ig9467,Ig9468,Ig9469,Ig9470,Ig9471,Ig9472,Ig9473,Ig9474,Ig9475,Ig9476,Ig9477,Ig9478
Cluster_3480,0,7,17,11,25,0,1,0,0,0,8,4,0,6,10,0,4,9,3,0,1,0,44,2,1,0,1,0,0,1,0,0,8,4,0,2,34,0,1,0,10,0,5,3,9,1,1,0,4,0,6,0,0,6,11,10,1,1,0,0,0,22,5,0,0,12,8,5,2,4,13,24,0,1,5,1,2,6,4,0,4,3,17,0,0,0,2,0,0,0
Cluster_3484,0,0,0,0,5,0,1,0,0,0,0,0,0,1,3,5,1,1,2,0,0,0,0,1,0,4,0,1,1,0,0,0,16,0,0,9,1,0,1,0,2,1,0,0,4,0,1,0,0,0,0,0,0,0,3,4,0,3,0,0,1,5,2,1,1,2,0,0,3,3,2,18,0,1,2,0,2,0,0,1,0,1,1,1,4,0,2,0,0,0
Cluster_3489,0,2,2,4,7,2,10,0,1,1,2,13,3,12,5,15,4,2,2,1,1,7,4,17,0,2,1,1,1,3,0,3,6,1,0,4,0,1,0,18,1,2,0,1,3,1,4,6,8,4,1,0,22,11,3,1,3,3,4,5,2,5,5,3,0,0,1,7,6,0,1,0,11,0,0,4,1,1,4,0,1,2,4,1,0,2,1,2,2,0
Cluster_3510,0,2,1,6,0,4,12,0,15,1,0,0,2,4,2,13,2,1,3,2,0,37,1,5,0,7,1,3,0,9,0,0,25,0,0,20,0,3,1,0,0,0,1,0,3,33,0,2,0,0,0,37,1,0,27,5,1,0,3,2,3,3,0,0,2,0,2,15,15,2,6,18,5,0,0,14,0,0,0,0,0,0,4,0,113,0,10,3,6,0
Cluster_3527,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,11,0,0,4,0,0,0,3,0,0,0,0,0,1,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,2,0
Cluster_3557,0,0,4,2,0,0,5,0,0,0,13,0,1,1,1,3,1,0,0,0,2,0,0,0,0,3,1,0,17,6,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,7,0,5,3,0,1,0,1,0,5,4,0,4,0,0,0,1,0,1,0,0,5,3,1,0,1,4,0,1,0,16,11,0,0,2,0,3,0,0,2,0,0,3,0,1
Cluster_3574,10,1,2,0,1,0,1,0,0,0,1,1,30,0,5,2,0,1,0,2,0,0,6,0,1,0,0,1,7,4,0,0,0,3,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,5,0,0,2,0,0,0,0,0,0,2,1,0,0,1,2,1,0,2,0,3,24,0,0,0,0,0,0
Cluster_3585,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,24,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,1,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,16,0,0,0,1,0
Cluster_3592,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,1,5,0,0,0,4,0,43,0,16,1,0,2,3,0,0,2,0,0,1,1,2,0,1,0,0,1,0,6,4,0,0,0,5,6,0,0,1,0,15,1,4,0,11,0,0,0,1,6,0,0,0,0,1,0,1,0,0,0,0,9,1
Cluster_3601,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,0,0,8,0,2,0,0,0,1,2,8,6,0,0,0,0,0,13,1,1,2,2,1,0,1,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,6,11,0,4,0,0,1,5,0
Cluster_3702,1,1,1,0,0,0,1,0,1,1,0,2,1,2,0,1,0,0,1,1,2,0,3,7,0,0,1,0,11,0,0,0,1,5,0,0,1,0,0,8,0,0,0,3,0,1,0,1,0,2,2,1,2,4,0,0,0,3,0,0,0,0,0,3,6,1,6,0,2,3,0,0,1,0,1,0,0,0,7,0,0,2,0,1,0,2,1,1,0,2
Cluster_3703,1,8,46,21,12,2,88,38,29,70,27,29,110,96,58,54,60,46,16,2,3,25,19,68,91,13,8,14,72,46,11,13,133,134,27,15,18,7,60,67,44,50,47,21,17,41,26,14,21,16,62,29,74,115,28,70,23,27,37,39,23,9,17,39,4,8,56,35,20,31,11,12,49,9,70,39,22,30,40,12,3,39,46,13,14,24,12,2,25,51
Cluster_3704,0,2,0,0,30,2,4,2,0,0,0,0,2,0,13,0,2,3,7,20,2,3,11,1,2,0,0,2,0,1,0,0,6,0,0,7,57,1,3,0,0,15,5,5,6,0,0,0,0,5,0,0,0,2,6,5,2,7,0,1,5,0,11,0,0,0,0,3,9,3,8,2,1,1,2,2,2,0,0,9,0,6,3,1,0,0,0,0,0,2
Cluster_3709,1,0,4,7,0,1,2,0,14,1,8,17,0,8,1,7,11,3,9,3,0,3,2,7,2,9,5,5,0,6,3,5,8,4,24,0,1,18,10,10,21,12,35,1,5,4,1,0,3,3,6,7,5,3,2,3,5,11,24,10,0,5,8,7,9,15,7,1,6,14,0,8,12,0,15,7,2,5,3,0,2,1,2,2,3,13,6,2,10,4
Cluster_3715,2,1,5,5,2,3,6,1,11,15,13,3,4,22,3,25,6,1,2,0,0,1,1,17,11,1,3,4,9,1,0,4,19,44,7,4,0,0,1,12,0,8,3,5,1,2,9,5,7,4,1,2,28,45,12,5,7,8,1,7,6,2,4,3,8,10,6,3,2,1,0,0,9,6,8,3,4,5,24,11,0,0,21,4,4,4,6,0,0,15
Cluster_3726,0,0,0,0,0,0,1,0,0,1,1,0,5,0,2,2,0,0,0,0,0,0,0,6,1,0,1,1,0,0,0,0,4,14,0,1,0,0,0,4,0,5,0,0,0,0,8,0,9,2,0,0,1,5,1,1,0,1,0,2,0,0,1,0,0,0,0,0,1,0,1,0,4,1,0,0,1,0,4,0,0,1,0,1,1,0,0,0,0,3
Cluster_3731,2,0,0,0,0,1,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,1,4,1,0,1,2,0,0,0,0,1,5,0,1,0,0,0,4,0,0,0,1,0,0,1,0,5,2,0,0,4,2,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,2,0,0,1,0,0,0
Cluster_3732,0,0,11,3,6,0,6,0,10,0,7,11,0,15,1,4,28,2,2,2,0,0,1,14,0,4,0,0,8,21,2,3,3,1,16,10,1,9,3,6,27,3,7,3,8,1,0,10,2,4,17,20,37,14,2,24,7,1,1,8,2,7,2,5,7,17,2,4,10,1,1,6,2,0,7,11,0,1,3,4,1,3,3,1,12,9,5,0,7,0
Cluster_3746,0,1,65,63,26,0,58,2,157,53,61,50,0,92,21,52,84,25,75,115,37,20,26,43,53,16,7,26,9,16,6,31,31,2,118,27,36,35,71,38,91,77,130,63,47,79,40,17,57,64,22,24,106,41,27,52,52,54,66,90,73,92,80,31,57,6,98,39,43,82,9,7,44,0,104,14,17,86,30,8,24,94,112,36,95,78,106,19,93,102
Cluster_3751,3,0,9,18,22,1,27,0,4,2,1,3,0,12,39,11,13,3,17,71,5,3,23,4,8,24,0,9,5,12,9,1,8,2,60,42,55,5,18,0,2,32,12,47,41,50,3,1,1,12,37,10,12,2,43,10,0,10,7,61,1,19,41,5,11,10,22,11,6,1,2,3,2,1,99,0,18,7,4,2,0,23,19,4,0,0,5,10,18,3
Cluster_3769,0,0,0,5,3,0,1,0,1,0,1,2,0,0,3,1,2,0,2,3,0,0,3,0,0,5,0,0,0,2,4,0,0,0,3,0,0,0,0,0,0,0,2,4,8,15,0,0,0,3,7,0,0,0,0,0,0,1,4,10,1,6,1,0,2,0,9,4,1,0,0,0,0,0,25,0,1,0,0,0,0,5,2,1,2,0,0,2,4,0
Cluster_3792,0,0,7,9,0,0,4,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,1,0,0,0,6,2,0,15,0,0,1,0,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,4,17,0,0,0,1,0
Cluster_3818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,2,10,16,0,0,4,0,0,0,1,11,3,0,6,0
Cluster_3838,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,0,1,0,0,0,0,2,0,2,0,0,2,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,6,0,0,0,0,3,0,0,0,0,5,0,0,4,2,1,0,3,0,1,0,0,1,4,0,0,0,1,3,0,1,0,0,0,0,4
